"","label","pixel1","pixel2","pixel3","pixel4","pixel5","pixel6","pixel7","pixel8","pixel9","pixel10","pixel11","pixel12","pixel13","pixel14","pixel15","pixel16","pixel17","pixel18","pixel19","pixel20","pixel21","pixel22","pixel23","pixel24","pixel25","pixel26","pixel27","pixel28","pixel29","pixel30","pixel31","pixel32","pixel33","pixel34","pixel35","pixel36","pixel37","pixel38","pixel39","pixel40","pixel41","pixel42","pixel43","pixel44","pixel45","pixel46","pixel47","pixel48","pixel49"
"47627","Sneaker",0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.3125,110.875,163.0625,94.9375,13.1875,0.5,1.0625,156.125,189.3125,189.6875,165.5625,181.625,127.0625,100.6875,38.8125,70.9375,75.25,120.3125,120.4375,109.1875,43.375,2.6875,7.375,9.5625,10.8125,6.5625,0.1875,0.1875,0,0,0,0,0,0,0
"17601","Pullover",0,33,105.375,129.1875,107.125,66.4375,0.0625,0,78.8125,155,117.125,100,112.3125,2.5,0,89.5,150.0625,118.375,107.0625,116.5625,3.6875,0,103.125,118.9375,123.1875,108.375,108.25,6.1875,0,113.0625,111.75,127.75,112,113.9375,10.1875,0,98.5,96.6875,109.875,104.125,97.375,9.375,0,80.5625,0.75,0,0.625,67.875,6.4375
"11600","Trouser",0,0,124.4375,211.5,173.3125,0,0,0,0,167.5625,214.625,198.3125,0,0,0,0,185.8125,134.6875,169.6875,0,0,0,0,192.9375,36.5625,164.3125,0,0,0,0,155,38.125,181.3125,0,0,0,0,112.0625,68.9375,191.1875,0,0,0,0,51.5625,100.75,155.3125,0,0
"40961","Shirt",0,27.4375,174.25,173.25,174.5,26.0625,0,0,138.6875,226.3125,228.0625,226.125,144.25,0,0,148.375,227.125,230.25,225.3125,158.25,0,0,0,82.9375,233.375,87.25,0,0,0,0,0.5,244.1875,44.5625,0,0,0,0,0.6875,240.0625,59.25,0,0,0,0,0.125,119.125,19.125,0,0
"13543","Pullover",0,1.1875,127.375,207.75,124.625,1.0625,0,0.125,128.9375,187.1875,186,185.8125,99.625,0.1875,0,191.0625,163.0625,157.4375,160.375,149.125,0,5.9375,206.5,164.5625,159.1875,162.8125,180.9375,0,15.75,166.5,172.25,169.6875,168.625,172.875,1.6875,22.0625,124.1875,181.875,176.1875,180.75,127.8125,15.8125,17.5,115.9375,157.125,163.9375,162.5,92.75,20.9375
"23939","Dress",0,46,151.125,113.8125,159.25,38,0,0,87.75,170.375,165.1875,167.25,78,0,0,90.625,135.1875,159.875,127.625,98.625,0,0,79.5,144.5,159.25,133.75,97.25,0,0,103.25,167.125,163.25,162,107.8125,0,0,74.875,170.4375,169.625,163.25,75.375,0,0,84.3125,154.3125,155.25,149.0625,83.6875,0
"27590","Coat",0,17.4375,160,148.4375,168.75,77.1875,0.1875,0,84.8125,206.5625,199.375,197.5,164.375,0,0,112.0625,227.25,204.8125,213.75,217.8125,0,0,151.625,224.125,211.375,212.3125,227.9375,17.125,0,173.4375,214.25,213.125,210.8125,219.125,40.1875,0,179.1875,205.8125,211.3125,211.3125,225.5,49,0,59.875,189.8125,200.0625,192.8125,139.4375,21.625
"59","T-shirt/top",0,36.0625,54.25,50.125,70.6875,51.1875,3.8125,16.6875,56.5,51.6875,44.375,47.125,48.8125,26.6875,15.375,40.9375,70.3125,114.875,39.75,45.25,19.625,0,18.125,104.8125,108.4375,38.625,22.8125,0,0,18.9375,55.6875,90.6875,117.375,23,0,0,25.9375,56.0625,49.8125,51.25,25.1875,0.125,0,28.5625,55.25,48.8125,47.8125,29.3125,0.1875
"33238","Sandal",0,0,0,0,0,0,0,0,0,0.1875,8.8125,0.0625,0.875,0.1875,0.1875,1.25,49.6875,139.3125,115.0625,92.875,37.75,90.0625,118,151.125,154.75,162.375,188.25,39.25,84,168,190.9375,161.625,157.75,182.25,129.375,0,1.4375,11.5,7.125,7,10.1875,4.1875,0,0,0,0,0,0,0
"28782","Coat",0,9.8125,174.5,218.625,170.4375,5.375,0,0,97,219.4375,220.5,218.125,82.8125,0,0,124.1875,223.8125,211.125,214.5625,120.375,0,0,161.625,204.125,212.1875,206.6875,153.8125,0,0,173.375,207.25,210.3125,204.5,170.9375,0,0,184.75,130.875,142.3125,126,185.5625,0,0,22.125,0.6875,32.4375,0.75,25.625,0
